"category","region","sex_group","row_id","relation","quintile","percentage","area_type","province"
"Employer","PAKISTAN","Both Sexes",4,"Head","total",0.774944577160065,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",4,"Head","q1",0.24479390791655,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",4,"Head","q2",0.376057366493792,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",4,"Head","q3",0.409004807106434,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",4,"Head","q4",0.851227605693798,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",4,"Head","q5",1.87950399208917,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",5,"Head","total",15.5329453157817,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",5,"Head","q1",10.0627330114691,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",5,"Head","q2",13.9247915749912,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",5,"Head","q3",15.6651983248571,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",5,"Head","q4",17.7632008316552,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",5,"Head","q5",19.5854263610078,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",6,"Head","total",0.253185192362151,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",6,"Head","q1",0.165366136677695,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",6,"Head","q2",0.285653796859202,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",6,"Head","q3",0.326426655912993,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",6,"Head","q4",0.293298169694235,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",6,"Head","q5",0.194185073150377,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",7,"Head","total",27.6265476818877,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",7,"Head","q1",29.8456279734146,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",7,"Head","q2",28.5102346696964,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",7,"Head","q3",27.309558787698,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",7,"Head","q4",26.3208946867956,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",7,"Head","q5",26.406510328748,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",8,"Other","total",2.72400540705177,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",8,"Other","q1",0.441220234631173,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",8,"Other","q2",1.03987330145838,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",8,"Other","q3",1.78586809004084,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",8,"Other","q4",3.12100809432548,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",8,"Other","q5",6.78189890411191,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",10,"Other","total",0.261503948647968,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",10,"Other","q1",0.11044362124718,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",10,"Other","q2",0.0825360785071102,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",10,"Other","q3",0.166623091670646,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",10,"Other","q4",0.328272339691163,"Overall","Pakistan"
"Employer","PAKISTAN","Both Sexes",10,"Other","q5",0.583284152258697,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",11,"Other","total",6.21480301010351,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",11,"Other","q1",5.0451119146017,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",11,"Other","q2",5.62021921994696,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",11,"Other","q3",6.8992832266528,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",11,"Other","q4",6.97508355758599,"Overall","Pakistan"
"Self Employed","PAKISTAN","Both Sexes",11,"Other","q5",6.4165459604284,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",12,"Other","total",13.2818087744424,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",12,"Other","q1",14.5086411695244,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",12,"Other","q2",14.7091165714693,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",12,"Other","q3",13.6418007417505,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",12,"Other","q4",13.6850085312458,"Overall","Pakistan"
"Contributing Family Worker","PAKISTAN","Both Sexes",12,"Other","q5",10.1734525166931,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",13,"Other","total",32.4770760592276,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",13,"Other","q1",39.3065263866402,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",13,"Other","q2",35.1516455285905,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",13,"Other","q3",33.0466721922681,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",13,"Other","q4",29.8813912008495,"Overall","Pakistan"
"Employee","PAKISTAN","Both Sexes",13,"Other","q5",25.9392381312501,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","total",0.853180033335144,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q1",0.269528253872677,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q2",0.299871891987185,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q3",0.749571033650579,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q4",0.780608134182475,"Overall","Pakistan"
"Not Economically Active","PAKISTAN","Both Sexes",14,"Other","q5",2.03994144633797,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","total",0.970102320871966,"Overall","Pakistan"
"Employer","PAKISTAN","Male",4,"Head","q1",0.334261461787684,"Overall","Pakistan"
